Date,CO,LC25,NO2,O3,PM10,SO2
1998-01-01,0.865625,,16.0,,8.66666666667,3.5625
1998-01-02,1.06527777778,,14.4782608696,,18.5,4.29166666667
1998-01-03,1.54513888889,,20.6086956522,,17.3333333333,4.625
1998-01-04,1.49861111111,,20.2608695652,,,4.75
1998-01-05,1.07361111111,,15.8260869565,,6.2,5.79166666667
1998-01-06,1.0985915493,,15.8333333333,,,5.69565217391
1998-01-07,1.45915492958,,20.3043478261,,12.0,4.16666666667
1998-01-08,1.37394366197,,21.1304347826,,20.3333333333,4.33333333333
1998-01-09,1.80069444444,,23.9565217391,,27.3333333333,5.75
1998-01-10,1.13888888889,,15.4782608696,,,9.0
1998-01-11,1.06805555556,,14.0434782609,,15.2,7.33333333333
1998-01-12,1.20069444444,,21.347826087,,16.0,4.70833333333
1998-01-13,0.932624113475,,16.3333333333,,,5.91304347826
1998-01-14,1.25486111111,,17.7647058824,,11.6666666667,4.33333333333
1998-01-15,0.85,,12.8181818182,,30.0,6.75
1998-01-16,1.47692307692,,21.7826086957,,19.5,5.70833333333
1998-01-17,1.12430555556,,10.6956521739,,13.4,4.45833333333
1998-01-18,1.58055555556,,22.2608695652,,,5.20833333333
1998-01-19,1.21736111111,,22.3913043478,,14.5,4.25
1998-01-20,1.13402777778,,21.3888888889,,,4.625
1998-01-21,1.64154929577,,20.6086956522,,14.3333333333,4.5
1998-01-22,1.80070422535,,25.3913043478,,31.0,5.91666666667
1998-01-23,1.57730496454,,13.3913043478,,9.6,3.66666666667
1998-01-24,0.909722222222,,10.9130434783,,9.0,4.91666666667
1998-01-25,1.03125,,9.78260869565,,8.0,3.25
1998-01-26,1.05972222222,,18.0869565217,,20.0,4.375
1998-01-27,1.85886524823,,31.4210526316,,36.0,5.0
1998-01-28,1.92867132867,,21.2173913043,,29.5,7.58333333333
1998-01-29,1.47342657343,,19.2173913043,,15.0,6.70833333333
1998-01-30,1.51468531469,,24.9130434783,,37.0,7.125
1998-01-31,2.05277777778,,30.7826086957,,30.0,10.7916666667
1998-02-01,1.73125,,9.04347826087,,,4.54166666667
1998-02-02,1.44071428571,,16.5217391304,,22.3333333333,4.54166666667
1998-02-03,1.46643356643,,23.8333333333,,,6.30434782609
1998-02-04,1.68333333333,,21.8260869565,,25.4,5.41666666667
1998-02-05,2.27291666667,,24.0,,31.5,7.0
1998-02-06,1.56433566434,,13.3913043478,,24.6666666667,6.95833333333
1998-02-07,1.25486111111,,10.347826087,,,6.08333333333
1998-02-08,1.26736111111,,18.652173913,,8.0,3.29166666667
1998-02-09,1.00069444444,,15.2608695652,,31.5,5.04166666667
1998-02-10,1.57708333333,,24.1111111111,,21.2,6.0
1998-02-11,1.72765957447,,23.3913043478,,,4.58333333333
1998-02-12,1.52222222222,,13.4347826087,,9.66666666667,3.66666666667
1998-02-13,1.31398601399,,19.2173913043,,23.0,5.83333333333
1998-02-14,1.97916666667,,26.2608695652,,16.3333333333,5.70833333333
1998-02-15,1.32430555556,,15.2173913043,,,5.125
1998-02-16,1.24265734266,,13.347826087,,18.0,4.75
1998-02-17,1.38014184397,,15.0,,,4.13043478261
1998-02-18,1.47083333333,,20.3333333333,,12.5,4.29166666667
1998-02-19,1.61678321678,,41.0,,19.6666666667,5.20833333333
1998-02-20,1.67692307692,,30.5652173913,,15.0,5.33333333333
1998-02-21,0.979166666667,,12.4782608696,,,3.08333333333
1998-02-22,0.847916666667,,9.30434782609,,9.4,4.25
1998-02-23,1.39236111111,,19.6086956522,,28.0,5.71428571429
1998-02-24,1.15070422535,,13.9375,,22.0,6.52173913043
1998-02-25,1.42569444444,,21.619047619,,14.5,4.375
1998-02-26,1.25531914894,,20.347826087,,20.0,4.58333333333
1998-02-27,1.63732394366,,27.347826087,,39.0,6.5
1998-02-28,1.37222222222,,21.2608695652,,9.6,4.79166666667
1998-03-01,0.979861111111,,10.3043478261,,,2.29166666667
1998-03-02,1.06433566434,,20.1304347826,,13.5,2.875
1998-03-03,1.02285714286,,22.2105263158,,,3.91304347826
1998-03-04,1.85763888889,,27.2608695652,,30.6666666667,5.08333333333
1998-03-05,1.44571428571,,21.347826087,,31.0,4.79166666667
1998-03-06,1.59020979021,,24.2173913043,,32.6,6.95833333333
1998-03-07,1.69305555556,,26.8695652174,,28.0,6.375
1998-03-08,1.06944444444,,19.1304347826,,8.0,5.375
1998-03-09,0.866666666667,,19.0434782609,,10.0,3.70833333333
1998-03-10,1.38888888889,,20.2105263158,,12.0,4.30434782609
1998-03-11,1.72374100719,,29.4782608696,,35.0,7.58333333333
1998-03-12,2.45734265734,,36.6956521739,,30.0,8.16666666667
1998-03-13,1.36923076923,,23.347826087,,25.0,5.5
1998-03-14,1.27569444444,,21.3913043478,,22.0,5.04166666667
1998-03-15,1.29305555556,,16.0869565217,,,4.54166666667
1998-03-16,1.12430555556,,16.0434782609,,14.3333333333,2.66666666667
1998-03-17,1.23846153846,,21.05,,,4.4347826087
1998-03-18,1.57163120567,,26.0869565217,,29.2,6.20833333333
1998-03-19,1.71736111111,,32.8260869565,,45.0,6.875
1998-03-20,1.75034965035,,36.4782608696,,44.0,10.3333333333
1998-03-21,1.71748251748,,32.7826086957,,,10.0416666667
1998-03-22,1.16180555556,,15.1304347826,,12.0,3.08333333333
1998-03-23,1.31666666667,,16.6956521739,,16.0,3.08333333333
1998-03-24,1.04507042254,,21.1052631579,,10.8,4.13043478261
1998-03-25,1.35514705882,,24.9565217391,,,3.86363636364
1998-03-26,0.931666666667,,13.0,,14.0,5.38095238095
1998-03-27,1.01779661017,,12.6086956522,,16.0,6.75
1998-03-28,1.05916666667,,17.9565217391,,17.0,5.41666666667
1998-03-29,0.9975,,18.2173913043,,,5.45833333333
1998-03-30,1.21818181818,,23.1304347826,,16.6,6.45833333333
1998-03-31,1.29295774648,,24.45,,,4.86956521739
1998-04-01,1.31631205674,,21.4347826087,0.0129166666667,27.0,5.5
1998-04-02,1.56993006993,,29.5652173913,0.00858333333333,31.5,5.70833333333
1998-04-03,1.32323943662,,24.3043478261,0.00958333333333,26.0,6.33333333333
1998-04-04,1.46944444444,,27.2608695652,0.0104583333333,,4.33333333333
1998-04-05,0.986805555556,,15.9565217391,0.0225833333333,12.2,3.79166666667
1998-04-06,1.05774647887,,20.3913043478,0.0178333333333,23.0,4.875
1998-04-07,1.00486111111,,20.8571428571,0.0246363636364,9.0,4.65217391304
1998-04-08,1.15138888889,,17.4347826087,0.0220833333333,22.5,4.95833333333
1998-04-09,1.19236111111,,22.0,0.0217083333333,21.3333333333,6.41666666667
1998-04-10,1.48368794326,,28.4782608696,0.00741666666667,17.5,5.91666666667
1998-04-11,1.04097222222,,14.8695652174,0.0198333333333,8.8,6.41666666667
1998-04-12,0.747222222222,,7.65217391304,0.037,,8.125
1998-04-13,1.05874125874,,21.9130434783,0.0123333333333,15.5,4.70833333333
1998-04-14,1.31571428571,,23.1052631579,0.0125909090909,,5.34782608696
1998-04-15,1.16666666667,,20.9565217391,0.0202727272727,20.0,5.63636363636
1998-04-16,0.975352112676,,15.1739130435,0.02825,19.0,4.125
1998-04-17,1.0965034965,,19.5217391304,0.0231666666667,18.5,4.83333333333
1998-04-18,1.27916666667,,33.0,0.012875,19.5,6.29166666667
1998-04-19,0.757638888889,,7.13043478261,0.036,10.0,3.125
1998-04-20,1.12307692308,,23.0,0.0156666666667,27.0,6.04347826087
1998-04-21,1.03475177305,,24.9523809524,0.024875,14.0,5.34782608696
1998-04-22,1.12027972028,,20.0869565217,0.0161666666667,33.0,6.29166666667
1998-04-23,1.3020979021,,30.4782608696,0.00708333333333,18.6,5.875
1998-04-24,1.09444444444,,16.2608695652,0.028,10.0,4.16666666667
1998-04-25,1.03680555556,,11.5217391304,0.0285,13.5,4.20833333333
1998-04-26,1.06805555556,,16.2608695652,0.0185416666667,,6.66666666667
1998-04-27,1.10281690141,,21.3043478261,0.0135833333333,25.0,5.41666666667
1998-04-28,1.28951048951,,24.95,0.0152916666667,,8.5652173913
1998-04-29,1.27517730496,,31.1739130435,0.0178636363636,49.2,12.625
1998-04-30,1.37847222222,,37.4347826087,0.015,65.5,7.29166666667
1998-05-01,1.3958041958,,34.4782608696,0.0202916666667,58.3333333333,10.0833333333
1998-05-02,1.09305555556,,23.2608695652,0.0378333333333,,10.0833333333
1998-05-03,0.997222222222,,22.0,0.02725,16.0,4.20833333333
1998-05-04,1.07071428571,,22.9130434783,0.016875,28.0,4.95833333333
1998-05-05,1.18671328671,,18.7,0.0171904761905,24.8,4.04347826087
1998-05-06,1.17132867133,,20.6956521739,0.0159166666667,,5.29166666667
1998-05-07,0.938888888889,,17.1304347826,0.0211666666667,18.0,7.20833333333
1998-05-08,1.15454545455,,18.7391304348,0.02,28.0,4.75
1998-05-09,1.26388888889,,16.1304347826,0.0176666666667,16.0,3.54166666667
1998-05-10,1.34236111111,,15.5652173913,0.00983333333333,,3.16666666667
1998-05-11,1.04647887324,,15.7826086957,0.023125,17.8,3.08333333333
1998-05-12,1.34444444444,,20.2631578947,0.018125,,4.39130434783
1998-05-13,1.31205673759,,19.8260869565,0.00978260869565,20.0,3.20833333333
1998-05-14,1.09236111111,,14.652173913,0.0249166666667,11.3333333333,3.66666666667
1998-05-15,0.965734265734,,10.652173913,0.025,13.0,4.625
1998-05-16,1.07638888889,,15.8260869565,0.0162916666667,,5.29166666667
1998-05-17,1.09930555556,,12.6086956522,0.0196666666667,12.4,4.54166666667
1998-05-18,1.01888111888,,11.1739130435,0.032375,16.0,6.33333333333
1998-05-19,1.05,,18.2,0.0187916666667,,6.39130434783
1998-05-20,1.21458333333,,21.4782608696,0.0165833333333,26.6666666667,6.25
1998-05-21,1.04444444444,,13.5652173913,0.02125,20.3333333333,3.375
1998-05-22,1.25874125874,,11.6086956522,0.028347826087,22.0,3.0
1998-05-23,0.980555555556,,9.4347826087,0.0223333333333,11.0,3.45833333333
1998-05-24,1.00763888889,,10.3043478261,0.0180833333333,,3.83333333333
1998-05-25,0.911111111111,,7.61904761905,0.026625,8.0,5.125
1998-05-26,1.27659574468,,17.9473684211,0.0141666666667,,4.08695652174
1998-05-27,1.25902777778,,15.1304347826,0.0155416666667,12.6666666667,2.83333333333
1998-05-28,1.34428571429,,19.4347826087,0.0143333333333,27.0,4.04166666667
1998-05-29,1.32797202797,,23.4347826087,0.0138181818182,19.8,7.0
1998-05-30,1.04097222222,,9.82608695652,0.025,18.5,4.54166666667
1998-05-31,1.04583333333,,16.9565217391,0.018125,11.0,3.58333333333
1998-06-01,1.03541666667,,15.4782608696,0.0170833333333,20.5,4.95833333333
1998-06-02,1.10555555556,,18.0,0.0136666666667,,5.30434782609
1998-06-03,1.09716312057,,19.2173913043,0.0152916666667,,6.16666666667
1998-06-04,1.12642857143,,12.4782608696,0.0132083333333,14.0,4.08333333333
1998-06-05,1.15104895105,,14.2608695652,0.0132857142857,,4.04166666667
1998-06-06,1.15277777778,,20.8260869565,0.0146666666667,,6.41666666667
1998-06-07,0.986111111111,,22.5217391304,0.0195416666667,,5.16666666667
1998-06-08,0.959722222222,,10.652173913,0.011875,,6.45833333333
1998-06-09,1.02569444444,,9.89473684211,0.0106666666667,,9.78260869565
1998-06-10,1.11678321678,,12.4782608696,0.0103333333333,8.0,7.58333333333
1998-06-11,1.17304964539,,18.0434782609,0.00908333333333,,3.54166666667
1998-06-12,1.13785714286,,19.8260869565,0.0121818181818,,4.66666666667
1998-06-13,1.07847222222,,17.0869565217,0.0173333333333,,7.58333333333
1998-06-14,0.817361111111,,8.0,0.0253333333333,,5.20833333333
